Data Source,nData,thres_pct,Lower Bound,Upper Bound,True Value,Repetition Index
gamma,30,0.6,0.01009105371268011,0.010091065314369896,0.005,33
gamma,30,0.6,0.002813937112985965,0.009690819937129192,0.005,34
gamma,30,0.6,0.001383460465361175,0.006992298405620501,0.005,35
gamma,30,0.6,0.000985085270223296,0.004968614790836723,0.005,36
gamma,30,0.6,0.0,0.0,0.005,37
gamma,30,0.6,0.001237351420510846,0.00572936803785904,0.005,38
gamma,30,0.6,0.0020323103585964566,0.00819351691011314,0.005,39
gamma,30,0.6,0.0014731886643338133,0.005141731056947841,0.005,40
gamma,30,0.6,0.0017176529224779637,0.006035852598712488,0.005,41
gamma,30,0.6,0.0014126627036448625,0.004831928406044828,0.005,42
gamma,30,0.6,0.0055953958897281275,0.00885266320974969,0.005,43
gamma,30,0.6,0.00015836884783597684,0.002484493947601063,0.005,44
gamma,30,0.6,0.0,0.0,0.005,45
gamma,30,0.6,0.0020837863383204704,0.0070351640361393745,0.005,46
gamma,30,0.6,0.002845787651452625,0.0072823521542319195,0.005,47
gamma,30,0.6,0.001923809285139244,0.008657652570940222,0.005,48
gamma,30,0.6,0.0021267928787858993,0.006931399593573584,0.005,49
gamma,30,0.6,0.0028026720692539975,0.01085497524619532,0.005,50
gamma,30,0.6,0.0005957079187436598,0.003981322103931229,0.005,51
gamma,30,0.6,0.0013003009443274484,0.006752985214073082,0.005,52
gamma,30,0.6,0.009881089221611728,0.009881089272525002,0.005,53
gamma,30,0.6,0.003523031504730412,0.010373070046873512,0.005,54
gamma,30,0.6,0.0039789948916383105,0.007995343070509397,0.005,55
gamma,30,0.6,0.005019313522721003,0.005208646309636223,0.005,56
gamma,30,0.6,0.0010567164400089978,0.0055800933431742195,0.005,57
gamma,30,0.6,0.003956175486767899,0.010258872294543276,0.005,58
gamma,30,0.6,0.003096237827678028,0.00755014761672177,0.005,59
gamma,30,0.6,0.004291338745004048,0.007950118247155214,0.005,60
gamma,30,0.6,0.0013473567673808252,0.006489167146095865,0.005,61
gamma,30,0.6,0.0020046985903646067,0.009295164382551535,0.005,62
gamma,30,0.6,0.0023558152393150958,0.005606245697297574,0.005,63
gamma,30,0.6,0.003949849678724604,0.008501732542226215,0.005,64
gamma,30,0.6,0.003059868884076611,0.007696042461887487,0.005,65
gamma,30,0.6,0.001765394648448071,0.009133157670076475,0.005,66
gamma,30,0.6,0.0042889787290848694,0.007825024316755113,0.005,67
gamma,30,0.6,0.0033113534027261696,0.006232819434012483,0.005,68
gamma,30,0.6,0.0038629820029597362,0.0067581841852495834,0.005,69
gamma,30,0.6,0.003931212999691969,0.008789686721829426,0.005,70
gamma,30,0.6,0.0020812729487945437,0.006309855506918316,0.005,71
gamma,30,0.6,0.0028509778712677127,0.008545994933916879,0.005,72
gamma,30,0.6,0.0016964654587541706,0.005850756641814581,0.005,73
gamma,30,0.6,0.0071676995474794225,0.00716769954967953,0.005,74
gamma,30,0.6,0.0012616614312894736,0.010381875852820022,0.005,75
gamma,30,0.6,0.0008893195175348812,0.004305361043742329,0.005,76
gamma,30,0.6,0.0008285277862868146,0.006944219315834355,0.005,77
gamma,30,0.6,0.0020954867980870428,0.006954406596926966,0.005,78
gamma,30,0.6,0.0043117618808210965,0.00791876789338275,0.005,79
gamma,30,0.6,0.002166070959859345,0.008950693800115062,0.005,80
gamma,30,0.6,0.0023542324461992338,0.00767540444993875,0.005,81
gamma,30,0.6,0.0022816291974625093,0.007045527932969132,0.005,82
gamma,30,0.6,0.0025899206646005537,0.00672201389431546,0.005,83
gamma,30,0.6,0.0009516332832138819,0.021869878253854936,0.005,84
gamma,30,0.6,0.0006904284703125985,0.019364828311294026,0.005,85
gamma,30,0.6,0.00163702914295234,0.0056840891749610385,0.005,86
gamma,30,0.6,0.003191667338886184,0.016811109648943747,0.005,87
gamma,30,0.6,0.0022698097219329585,0.008396129544075271,0.005,88
gamma,30,0.6,0.004986133685000338,0.007579397289733159,0.005,89
gamma,30,0.6,0.0017231424356464855,0.008880741012000648,0.005,90
gamma,30,0.6,0.0,0.0,0.005,91
gamma,30,0.6,0.0010114239974851724,0.006315634747371091,0.005,92
gamma,30,0.6,5.154448859947536e-05,0.0023258155429349615,0.005,93
gamma,30,0.6,0.001996859991656974,0.007924426768319615,0.005,94
gamma,30,0.6,0.0017347854088023862,0.010334714414160385,0.005,95
gamma,30,0.6,0.0012402251780446517,0.0074921118150598435,0.005,96
gamma,30,0.6,0.00088918910503204,0.00710873860452983,0.005,97
gamma,30,0.6,0.0028571602026295387,0.009175232490062113,0.005,98
gamma,30,0.6,0.005190577685398612,0.00825467699445479,0.005,99
gamma,30,0.6,0.0034427506553007083,0.011356006045134138,0.005,100
gamma,30,0.6,0.0030207284562297158,0.007781816506293371,0.005,101
gamma,30,0.6,0.0014075896330257188,0.008324913728045048,0.005,102
gamma,30,0.6,0.0004369031827716974,0.005771258064419005,0.005,103
gamma,30,0.6,0.007510849563901356,0.007510849576325463,0.005,104
gamma,30,0.6,0.0012389736253001883,0.005404106502660034,0.005,105
gamma,30,0.6,0.0028935776642971867,0.007369144475546818,0.005,106
gamma,30,0.6,0.0017510942762723582,0.00636334355528665,0.005,107
gamma,30,0.6,0.003333679361494646,0.006180235241464782,0.005,108
gamma,30,0.6,0.002747620518574623,0.010175505784980077,0.005,109
gamma,30,0.6,0.0007727267617462452,0.006941038188577231,0.005,110
gamma,30,0.6,0.0,0.0,0.005,111
gamma,30,0.6,0.004237087959174568,0.007859544235527328,0.005,112
gamma,30,0.6,0.0018458605297872134,0.00829304559805082,0.005,113
gamma,30,0.6,0.0037301199206190906,0.008704729478574258,0.005,114
gamma,30,0.6,0.004724428362323741,0.011345948311619659,0.005,115
gamma,30,0.6,0.0,0.0,0.005,116
gamma,30,0.6,0.005437071464427268,0.010086584875740191,0.005,117
gamma,30,0.6,0.002872274026390587,0.0061930933526103795,0.005,118
gamma,30,0.6,0.0012930350088881772,0.007300206650221109,0.005,119
gamma,30,0.6,0.0011761415574836232,0.009759165181413421,0.005,120
gamma,30,0.6,0.00224737181248198,0.01022147534330653,0.005,121
gamma,30,0.6,0.0010407990341693375,0.004691617876231735,0.005,122
gamma,30,0.6,0.002430064196686921,0.012609171402251063,0.005,123
gamma,30,0.6,0.0008242270616837466,0.05155594628480662,0.005,124
gamma,30,0.6,0.0011127984302083949,0.00971293577005694,0.005,125
gamma,30,0.6,0.0,0.0,0.005,126
gamma,30,0.6,0.005990895146182096,0.01136408741655286,0.005,127
gamma,30,0.6,0.0,0.0,0.005,128
gamma,30,0.6,0.005818736716245177,0.009882958939579157,0.005,129
gamma,30,0.6,0.005214392752164798,0.009560204228121939,0.005,130
gamma,30,0.6,0.002350188023304778,0.007871237258799013,0.005,131
gamma,30,0.6,0.0008831901169355839,0.005877429313084637,0.005,132
gamma,30,0.6,0.0,0.0,0.005,133
gamma,30,0.6,0.009238637321896448,0.00923863759726542,0.005,134
gamma,30,0.6,0.0009886893941179144,0.005573857994262976,0.005,135
gamma,30,0.6,0.003099054114714006,0.008046779777462465,0.005,136
gamma,30,0.6,0.001581882260426859,0.005301643901191477,0.005,137
gamma,30,0.6,0.004509518644455079,0.0066644243468315,0.005,138
gamma,30,0.6,0.0015169259551730098,0.007059503703907489,0.005,139
gamma,30,0.6,0.002884640808668593,0.0068084930450329935,0.005,140
gamma,30,0.6,0.002709943286870376,0.008226500079024169,0.005,141
gamma,30,0.6,0.008069277234730433,0.008069277274948083,0.005,142
gamma,30,0.6,0.0006606992738928952,0.008571757611929876,0.005,143
gamma,30,0.6,0.001888999305825756,0.008437198897179777,0.005,144
gamma,30,0.6,0.002318637839652826,0.008194057758816342,0.005,145
gamma,30,0.6,0.0029574115129838764,0.00822640873040399,0.005,146
gamma,30,0.6,0.0016898729572452087,0.00667496526595417,0.005,147
gamma,30,0.6,0.004855969269149574,0.008098041607881745,0.005,148
gamma,30,0.6,0.01745403726253634,0.01745403733883091,0.005,149
gamma,30,0.6,0.0011320887174468997,0.010325381106703625,0.005,150
gamma,30,0.6,0.0009810020103509843,0.007610904549606223,0.005,151
gamma,30,0.6,0.0016748322921356085,0.006660292187719286,0.005,152
gamma,30,0.6,0.003055301023245294,0.009888664345395615,0.005,153
gamma,30,0.6,0.0010512203737669701,0.004914342941470329,0.005,154
gamma,30,0.6,0.002681793821113665,0.0072088686397211,0.005,155
gamma,30,0.6,0.00036388804809801557,0.005300204243422879,0.005,156
gamma,30,0.6,0.002304873279579267,0.008325249224806397,0.005,157
gamma,30,0.6,0.001551677768821147,0.00670135443162705,0.005,158
gamma,30,0.6,0.0029060875122332687,0.006788991358048025,0.005,159
gamma,30,0.6,0.002548876819999402,0.007446136726529851,0.005,160
gamma,30,0.6,0.0010231169589020705,0.007614921012869447,0.005,161
gamma,30,0.6,0.0012822461602188364,0.005808893867044329,0.005,162
gamma,30,0.6,0.00553789688349764,0.011026575402590888,0.005,163
gamma,30,0.6,0.0024900817242675456,0.0070591454770252415,0.005,164
gamma,30,0.6,0.0024537687130210097,0.008460409754078801,0.005,165
gamma,30,0.6,0.002702335804640521,0.006806436387609605,0.005,166
gamma,30,0.6,1.5197598957072955e-08,0.0021655485604281212,0.005,167
gamma,30,0.6,0.004675710624836071,0.008327873155132216,0.005,168
gamma,30,0.6,0.0029081349411302694,0.015468427611763725,0.005,169
gamma,30,0.6,0.0014684166715762004,0.007989802285732052,0.005,170
gamma,30,0.6,0.002194679681196199,0.016646978752593976,0.005,171
gamma,30,0.6,0.0013232984511230674,0.010621046144731007,0.005,172
gamma,30,0.6,0.0009698674846744915,0.006102108168825771,0.005,173
gamma,30,0.6,0.0027622192208406563,0.007860909138453566,0.005,174
gamma,30,0.6,2.4867240277837155e-05,0.005229049172406075,0.005,175
gamma,30,0.6,0.0032023299505624437,0.008540160880183435,0.005,176
gamma,30,0.6,0.0024991526504677623,0.007441328715519813,0.005,177
gamma,30,0.6,0.0039456500326670255,0.009202657807758285,0.005,178
gamma,30,0.6,0.003156689499599308,0.006709891238536381,0.005,179
gamma,30,0.6,0.0021761754678701005,0.01180903378271303,0.005,180
gamma,30,0.6,0.00023801433625507686,0.003882209470229903,0.005,181
gamma,30,0.6,0.003261060825662998,0.007244933462497816,0.005,182
gamma,30,0.6,0.00294854896207708,0.012571730664629755,0.005,183
gamma,30,0.6,0.0013987447898149874,0.006748218140685935,0.005,184
gamma,30,0.6,0.0027174658455559886,0.009939915136676358,0.005,185
gamma,30,0.6,0.0013349767147337044,0.005284347608706552,0.005,186
gamma,30,0.6,0.0012166033812002653,0.007401955623167567,0.005,187
gamma,30,0.6,0.005988929719925373,0.012054775553424291,0.005,188
gamma,30,0.6,0.0031649495450097654,0.007421586669987068,0.005,189
gamma,30,0.6,0.008113003594550517,0.008113081366465958,0.005,190
gamma,30,0.6,0.0017382906389823206,0.007432642369896315,0.005,191
gamma,30,0.6,0.0027689706905135838,0.007653441650311965,0.005,192
gamma,30,0.6,0.0013300054674811436,0.0056570269760345855,0.005,193
gamma,30,0.6,0.01190769113676371,0.011907691177060099,0.005,194
gamma,30,0.6,0.006811718479229745,0.006811718479527285,0.005,195
gamma,30,0.6,0.002202517250628011,0.006968271872457921,0.005,196
gamma,30,0.6,0.017174189396314078,0.017174189473749647,0.005,197
gamma,30,0.6,0.0028001049325621086,0.008126730398792947,0.005,198
gamma,30,0.6,0.0004312013987272323,0.011913034783777032,0.005,199
